Constituency_No,Constituency_Name,District,Winner_Candidate_2021,Winner_Party_2021,Winner_Votes_2021,Winner_Pct_2021,Margin_2021,Winner_Candidate_2026,Winner_Party_2026,Winner_Votes_2026,Winner_Pct_2026,Margin_2026,Seat_Status,Party_Change,Vote_Swing,Margin_Change,Minority_Pct,Women_Voter_Pct,Unemployment_Pct,SIR_Risk,Region
246,Raghunathpur,Purulia,Vivekananda Bauri,BJP,95770,44.61,5438,Mamoni Bauri,BJP,127628,54.44,44059,Retained,BJP → BJP,9.83,38621,7.76,91.59,3.75,Low,Junglemahal
247,Saltora,Bankura,Bauri Chandana,BJP,91648,45.28,4145,Chandana Bauri,BJP,115180,52.72,32135,Retained,BJP → BJP,7.44,27990,8.08,92.55,3.55,Low,Junglemahal
248,Chhatna,Bankura,Satyanarayan Mukhopadhyay,BJP,90233,45.84,7164,Satyanarayan Mukhopadhyay,BJP,125972,56.76,47174,Retained,BJP → BJP,10.92,40010,8.08,92.55,3.55,Low,Junglemahal
249,Ranibandh,Bankura,Jyotsna Mandi,AITC,90928,43.06,3939,Kshudiram Tudu,BJP,131145,55.38,52269,Flipped,AITC → BJP,12.32,48330,8.08,92.55,3.55,Low,Junglemahal
250,Raipur,Bankura,Mrityunjoy Murmu,AITC,101043,51.96,19398,Kshetra Mohan Hansda,BJP,111443,53.01,28742,Flipped,AITC → BJP,1.05,9344,8.08,92.55,3.55,Low,Junglemahal
251,Taldangra,Bankura,Arup Chakraborty,AITC,92026,45.29,12377,Souvik Patra,BJP,124537,56.62,50073,Flipped,AITC → BJP,11.33,37696,8.08,92.55,3.55,Low,Junglemahal
252,Bankura,Bankura,Niladri Sekhar Dana,BJP,95466,43.79,1468,Niladri Sekhar Dana,BJP,136992,57.24,54177,Retained,BJP → BJP,13.45,52709,8.08,92.55,3.55,Low,Junglemahal
253,Barjora,Bankura,Alok Mukherjee,AITC,93290,42.51,3269,Billeswar Sinha,BJP,125419,53.29,41310,Flipped,AITC → BJP,10.78,38041,8.08,92.55,3.55,Low,Junglemahal
254,Onda,Bankura,Amarnath Shakha,BJP,104940,46.48,11551,Amarnath Shakha,BJP,128296,52.09,31723,Retained,BJP → BJP,5.61,20172,8.08,92.55,3.55,Low,Junglemahal
255,Bishnupur,Bankura,Tanmay Ghosh (Bumba),BJP,89689,46.84,11420,Shukla Chatterjee,BJP,111082,53.54,30605,Retained,BJP → BJP,6.7,19185,8.08,92.55,3.55,Low,Junglemahal
256,Katulpur,Bankura,Harakali Protiher,BJP,106022,47.31,11785,Lakshmi Kanta Majumdar,BJP,126241,52.55,34367,Retained,BJP → BJP,5.24,22582,8.08,92.55,3.55,Low,Junglemahal
257,Indus,Bankura,Nirmal Kumar Dhara,BJP,104936,48.04,7220,Nirmal Kumar Dhara,BJP,108733,46.79,900,Retained,BJP → BJP,-1.25,-6320,8.08,92.55,3.55,Low,Junglemahal
258,Sonamukhi,Bankura,Dibakar Gharami,BJP,98161,47.25,10888,Dibakar Gharami,BJP,115549,52.08,29410,Retained,BJP → BJP,4.83,18522,8.08,92.55,3.55,Low,Junglemahal
259,Khandaghosh,Purba Bardhaman,Nabin Chandra Bag,AITC,104264,47.85,20886,Nabin Chandra Bag,AITC,104183,46.67,6528,Retained,AITC → AITC,-1.18,-14358,25.16,91.5,3.75,Medium,South Bengal
260,Bardhaman Dakshin,Purba Bardhaman,Khokan Das,AITC,91015,44.32,8105,Moumita Biswas Misra,BJP,107754,52.61,30470,Flipped,AITC → BJP,8.29,22365,25.16,91.5,3.75,Medium,South Bengal
261,Raina,Purba Bardhaman,Shampa Dhara,AITC,108752,47.46,18205,Subhash Patra,BJP,103487,44.37,834,Flipped,AITC → BJP,-3.09,-17371,25.16,91.5,3.75,Medium,South Bengal
262,Jamalpur,Purba Bardhaman,Alok Kumar Majhi,AITC,96999,46.93,17971,Arun Halder,BJP,99936,46.53,11178,Flipped,AITC → BJP,-0.4,-6793,25.16,91.5,3.75,Medium,South Bengal
263,Monteswar,Purba Bardhaman,Chowdhury Siddiqullah,AITC,105460,50.45,31805,Saikat Panja,BJP,96559,47.29,14798,Flipped,AITC → BJP,-3.16,-17007,25.16,91.5,3.75,Medium,South Bengal
264,Kalna,Purba Bardhaman,Deboprasad Bag (Poltu),AITC,96073,45.98,7478,Siddhartha Majumdar,BJP,110790,51.96,28630,Flipped,AITC → BJP,5.98,21152,25.16,91.5,3.75,Medium,South Bengal
265,Memari,Purba Bardhaman,Madhusudan Bhattacharya,AITC,104851,47.92,23078,Manab Guha,BJP,106428,46.78,7106,Flipped,AITC → BJP,-1.14,-15972,25.16,91.5,3.75,Medium,South Bengal
266,Bardhaman Uttar,Purba Bardhaman,Nisith Kumar Malik,AITC,111211,45.97,17268,Nisith Kumar Malik,AITC,112688,45.45,6460,Retained,AITC → AITC,-0.52,-10808,25.16,91.5,3.75,Medium,South Bengal
267,Bhatar,Purba Bardhaman,Adhikari Mangobinda,AITC,108028,50.44,31741,Soumen Karfa,BJP,98820,46.03,6528,Flipped,AITC → BJP,-4.41,-25213,25.16,91.5,3.75,Medium,South Bengal
268,Purbasthali Dakshin,Purba Bardhaman,Swapan Debnath,AITC,105698,49.08,17410,Pran Krishna Tapadar,BJP,111004,50.44,16662,Flipped,AITC → BJP,1.36,-748,25.16,91.5,3.75,Medium,South Bengal
269,Purbasthali Uttar,Purba Bardhaman,Tapan Chatterjee,AITC,92421,43.52,6706,Gopal Chattopadhyay,BJP,111379,49.53,30226,Flipped,AITC → BJP,6.01,23520,25.16,91.5,3.75,Medium,South Bengal
270,Katwa,Purba Bardhaman,Rabindranath Chatterjee,AITC,107894,48.07,9155,Krishna Ghosh,BJP,122020,50.94,35066,Flipped,AITC → BJP,2.87,25911,25.16,91.5,3.75,Medium,South Bengal
271,Ketugram,Purba Bardhaman,Sekh Sahonawez,AITC,100226,46.55,12683,Anadi Ghosh,BJP,111104,50.69,27610,Flipped,AITC → BJP,4.14,14927,25.16,91.5,3.75,Medium,South Bengal
272,Mangalkot,Purba Bardhaman,Apurba Chowdhury (Achal),AITC,107596,49.51,22337,Shishir Ghosh,BJP,104020,47.44,12723,Flipped,AITC → BJP,-2.07,-9614,25.16,91.5,3.75,Medium,South Bengal
273,Ausgram,Purba Bardhaman,Abhedananda Thander,AITC,100392,46.25,11815,Kalita Maji,BJP,107692,47.68,12535,Flipped,AITC → BJP,1.43,720,25.16,91.5,3.75,Medium,South Bengal
274,Galsi,Purba Bardhaman,Nepal Ghorui,AITC,109504,49.21,19262,Raju Patra,BJP,110640,47.62,10494,Flipped,AITC → BJP,-1.59,-8768,25.16,91.5,3.75,Medium,South Bengal
275,Pandabeswar,Paschim Bardhaman,Narendranath Chakraborty,AITC,73922,44.99,3803,Jitendra Tiwari,BJP,80501,46.08,1398,Flipped,AITC → BJP,1.09,-2405,13.32,90.32,3.75,Medium,South Bengal
276,Durgapur Purba,Paschim Bardhaman,Pradip Mazumdar,AITC,79303,41.16,3746,Chandra Sekhar Banerjee,BJP,108888,50.69,30934,Flipped,AITC → BJP,9.53,27188,13.32,90.32,3.75,Medium,South Bengal
277,Durgapur Paschim,Paschim Bardhaman,Lakshman Chandra Ghorui,BJP,91186,46.31,14664,Lakshman Chandra Ghorui,BJP,114729,52.93,37598,Retained,BJP → BJP,6.62,22934,13.32,90.32,3.75,Medium,South Bengal
278,Raniganj,Paschim Bardhaman,Tapas Banerjee,AITC,78164,42.9,3556,Partha Ghosh,BJP,97416,49.58,17786,Flipped,AITC → BJP,6.68,14230,13.32,90.32,3.75,Medium,South Bengal
279,Jamuria,Paschim Bardhaman,Hareram Singh,AITC,71002,42.59,8051,Bijan Mukherjee,BJP,90150,49.64,22514,Flipped,AITC → BJP,7.05,14463,13.32,90.32,3.75,Medium,South Bengal
280,Asansol Dakshin,Paschim Bardhaman,Agnimitra Paul,BJP,87881,45.13,4487,Agnimitra Paul,BJP,119582,55.42,40839,Retained,BJP → BJP,10.29,36352,13.32,90.32,3.75,Medium,South Bengal
281,Asansol Uttar,Paschim Bardhaman,Ghatak Moloy,AITC,100931,52.32,21110,Krishnendu Mukherjee,BJP,104516,49.63,11615,Flipped,AITC → BJP,-2.69,-9495,13.32,90.32,3.75,Medium,South Bengal
282,Kulti,Paschim Bardhaman,Ajay Kumar Poddar,BJP,81112,46.41,679,Ajay Kumar Poddar,BJP,103570,54.44,26498,Retained,BJP → BJP,8.03,25819,13.32,90.32,3.75,Medium,South Bengal
283,Barabani,Paschim Bardhaman,Bidhan Upadhyay,AITC,88430,52.26,23457,Arijit Roy,BJP,91777,49.54,11722,Flipped,AITC → BJP,-2.72,-11735,13.32,90.32,3.75,Medium,South Bengal
284,Dubrajpur,Birbhum,Anup Kumar Saha,BJP,98083,47.94,3863,Anup Kumar Saha,BJP,117437,53.33,27647,Retained,BJP → BJP,5.39,23784,37.06,94.51,4.05,Medium,South Bengal
285,Suri,Birbhum,Bikash Roychoudhury,AITC,105871,48.43,7320,Jagannath Chattopadhyay,BJP,124243,52.09,28686,Flipped,AITC → BJP,3.66,21366,37.06,94.51,4.05,Medium,South Bengal
286,Bolpur,Birbhum,Sinha Chandranath,AITC,116443,50.57,22280,Chandranath Sinha,AITC,114915,46.65,13188,Retained,AITC → AITC,-3.92,-9092,37.06,94.51,4.05,Medium,South Bengal
287,Nanoor,Birbhum,Bidhan Chandra Majhi,AITC,112116,47.64,6670,Bidhan Chandra Majhi,AITC,119910,47.37,8122,Retained,AITC → AITC,-0.27,1452,37.06,94.51,4.05,Medium,South Bengal
288,Labpur,Birbhum,Abhijit Sinha (Rana),AITC,108423,51.14,17975,Debasis Ojha,BJP,106402,47.71,3550,Flipped,AITC → BJP,-3.43,-14425,37.06,94.51,4.05,Medium,South Bengal
289,Sainthia,Birbhum,Nilabati Saha,AITC,110572,49.84,15243,Krishna Kanta Saha,BJP,115054,47.71,10306,Flipped,AITC → BJP,-2.13,-4937,37.06,94.51,4.05,Medium,South Bengal
290,Mayureswar,Birbhum,Abhijit Roy,AITC,100425,50.36,12075,Dudh Kumar Mondal,BJP,107056,50.15,21002,Flipped,AITC → BJP,-0.21,8927,37.06,94.51,4.05,Medium,South Bengal
291,Rampurhat,Birbhum,Asish Banerjee,AITC,103276,47.52,8472,Dhruba Saha,BJP,111920,47.89,24233,Flipped,AITC → BJP,0.37,15761,37.06,94.51,4.05,Medium,South Bengal
292,Hansan,Birbhum,Dr. Asok Kumar Chattopadhyay,AITC,108289,51.42,50613,Fayezul Haque,AITC,103223,45.56,28298,Retained,AITC → AITC,-5.86,-22315,37.06,94.51,4.05,Medium,South Bengal
293,Nalhati,Birbhum,Rajendra Prasad Singh (Raju Singh),AITC,117438,56.54,56905,Rajendra Prasad Singh,AITC,87744,39.43,13446,Retained,AITC → AITC,-17.11,-43459,37.06,94.51,4.05,Medium,South Bengal
294,Murarai,Birbhum,Dr. Mosarraf Hossain,AITC,146496,67.23,98246,Mosarraf Hossain,AITC,96902,39.89,37705,Retained,AITC → AITC,-27.34,-60541,37.06,94.51,4.05,Medium,South Bengal
