Constituency_No,Constituency_Name,District,Winner_Candidate_2021,Winner_Party_2021,Winner_Votes_2021,Winner_Pct_2021,Margin_2021,Winner_Candidate_2026,Winner_Party_2026,Winner_Votes_2026,Winner_Pct_2026,Margin_2026,Seat_Status,Party_Change,Vote_Swing,Margin_Change,Minority_Pct,Women_Voter_Pct,Unemployment_Pct,SIR_Risk,Region
55,Farakka,Murshidabad,Manirul Islam,AITC,102319,54.89,59945,Motab Shaikh,INC,63050,36.06,8193,Flipped,AITC → INC,-18.83,-51752,66.27,93.67,3.75,High,Minority Belt
56,Samserganj,Murshidabad,Amirul Islam,AITC,96417,51.13,26379,Mohammad Noor Alam,AITC,61918,39.84,7587,Retained,AITC → AITC,-11.29,-18792,66.27,93.67,3.75,High,Minority Belt
57,Suti,Murshidabad,Emani Biswas,AITC,127351,58.87,70701,Emani Biswas,AITC,81330,36.83,12357,Retained,AITC → AITC,-22.04,-58344,66.27,93.67,3.75,High,Minority Belt
58,Jangipur,Murshidabad,Zakir Hossain,AITC,136444,68.82,92480,Chitta Mukherjee,BJP,91201,42.9,10542,Flipped,AITC → BJP,-25.92,-81938,66.27,93.67,3.75,High,Minority Belt
59,Raghunathganj,Murshidabad,Akhruzzaman,AITC,126834,66.59,98313,Akhruzzaman,AITC,88909,45.65,40555,Retained,AITC → AITC,-20.94,-57758,66.27,93.67,3.75,High,Minority Belt
60,Sagardighi,Murshidabad,Subrata Saha,AITC,95189,50.95,50206,Bayron Biswas,AITC,90781,43.72,34260,Retained,AITC → AITC,-7.23,-15946,66.27,93.67,3.75,High,Minority Belt
61,Lalgola,Murshidabad,Ali Mohammad,AITC,107860,56.64,60707,Abdul Aziz,AITC,67954,37.72,18960,Retained,AITC → AITC,-18.92,-41747,66.27,93.67,3.75,High,Minority Belt
62,Bhagawangola,Murshidabad,Idris Ali,AITC,153795,68.05,106008,Reyat Hossain Sarkar,AITC,105997,48.57,56407,Retained,AITC → AITC,-19.48,-49601,66.27,93.67,3.75,High,Minority Belt
63,Raninagar,Murshidabad,Abdul Soumik Hossain,AITC,134957,60.79,79702,Julfikar Ali,INC,79423,33.48,2701,Flipped,AITC → INC,-27.31,-77001,66.27,93.67,3.75,High,Minority Belt
64,Murshidabad,Murshidabad,Gouri Sankar Ghosh,BJP,95967,41.86,2491,Gouri Shankar Ghosh,BJP,114443,48.18,31521,Retained,BJP → BJP,6.32,29030,66.27,93.67,3.75,High,Minority Belt
65,Nabagram,Murshidabad,Kanai Chandra Mondal,AITC,100455,48.18,35533,Dilip Saha,BJP,78739,35.54,5919,Flipped,AITC → BJP,-12.64,-29614,66.27,93.67,3.75,High,Minority Belt
66,Khargram,Murshidabad,Ashis Marjit,AITC,93255,50.15,32573,Mitali Mal,BJP,77748,38.02,9333,Flipped,AITC → BJP,-12.13,-23240,66.27,93.67,3.75,High,Minority Belt
67,Burwan,Murshidabad,Jiban Krishna Saha,AITC,81890,46.32,2749,Sukhen Kumar Bagdi,BJP,91661,48.52,22300,Flipped,AITC → BJP,2.2,19551,66.27,93.67,3.75,High,Minority Belt
68,Kandi,Murshidabad,Apurba Sarkar (David),AITC,95399,51.16,38080,Gargi Das Ghosh,BJP,73355,36.78,10335,Flipped,AITC → BJP,-14.38,-27745,66.27,93.67,3.75,High,Minority Belt
69,Bharatpur,Murshidabad,Humayun Kabir,AITC,96226,50.9,43083,Mustafizur Rahaman,AITC,90870,42.38,30753,Retained,AITC → AITC,-8.52,-12330,66.27,93.67,3.75,High,Minority Belt
